,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
59,NDXP240426C17410000,2024-04-25 20:04:37+00:00,17410.0,256.5,0.0,0.0,0.0,0.0,24.0,0,1.0000000000000003e-05,True,REGULAR,USD
60,NDXP240426C17420000,2024-04-25 19:30:16+00:00,17420.0,134.6,0.0,0.0,0.0,0.0,117.0,0,1.0000000000000003e-05,True,REGULAR,USD
61,NDXP240426C17425000,2024-04-25 19:55:01+00:00,17425.0,111.5,0.0,0.0,0.0,0.0,38.0,0,1.0000000000000003e-05,True,REGULAR,USD
62,NDXP240426C17440000,2024-04-25 19:38:55+00:00,17440.0,110.5,0.0,0.0,0.0,0.0,36.0,0,0.00196310546875,False,REGULAR,USD
63,NDXP240426C17450000,2024-04-25 19:58:13+00:00,17450.0,104.8,0.0,0.0,0.0,0.0,173.0,0,0.0039162109375,False,REGULAR,USD
64,NDXP240426C17470000,2024-04-25 20:04:41+00:00,17470.0,218.85,0.0,0.0,0.0,0.0,118.0,0,0.007822421875,False,REGULAR,USD
65,NDXP240426C17475000,2024-04-25 19:28:50+00:00,17475.0,104.4,0.0,0.0,0.0,0.0,23.0,0,0.007822421875,False,REGULAR,USD
66,NDXP240426C17480000,2024-04-25 19:59:31+00:00,17480.0,92.48,0.0,0.0,0.0,0.0,121.0,0,0.015634843750000002,False,REGULAR,USD
67,NDXP240426C17490000,2024-04-25 19:36:04+00:00,17490.0,92.97,0.0,0.0,0.0,0.0,9.0,0,0.015634843750000002,False,REGULAR,USD
68,NDXP240426C17500000,2024-04-25 20:05:40+00:00,17500.0,207.2,0.0,0.0,0.0,0.0,106.0,0,0.015634843750000002,False,REGULAR,USD
69,NDXP240426C17510000,2024-04-25 19:33:07+00:00,17510.0,82.0,0.0,0.0,0.0,0.0,17.0,0,0.015634843750000002,False,REGULAR,USD
70,NDXP240426C17520000,2024-04-25 20:04:41+00:00,17520.0,181.99,0.0,0.0,0.0,0.0,22.0,0,0.015634843750000002,False,REGULAR,USD
71,NDXP240426C17525000,2024-04-25 19:59:34+00:00,17525.0,73.69,0.0,0.0,0.0,0.0,16.0,0,0.015634843750000002,False,REGULAR,USD
