,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
101,NDXP240426P16970000,2024-04-25 20:01:35+00:00,16970.0,5.66,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD
102,NDXP240426P16975000,2024-04-25 17:46:24+00:00,16975.0,9.63,0.0,0.0,0.0,0.0,14.0,0,0.12500875,False,REGULAR,USD
103,NDXP240426P16980000,2024-04-25 19:27:52+00:00,16980.0,6.85,0.0,0.0,0.0,0.0,35.0,0,0.12500875,False,REGULAR,USD
104,NDXP240426P17000000,2024-04-25 20:11:21+00:00,17000.0,3.1,0.0,0.0,0.0,0.0,386.0,0,0.062509375,False,REGULAR,USD
105,NDXP240426P17010000,2024-04-25 20:10:30+00:00,17010.0,3.56,0.0,0.0,0.0,0.0,25.0,0,0.062509375,False,REGULAR,USD
106,NDXP240426P17020000,2024-04-25 19:59:42+00:00,17020.0,10.94,0.0,0.0,0.0,0.0,11.0,0,0.062509375,False,REGULAR,USD
107,NDXP240426P17025000,2024-04-25 19:54:50+00:00,17025.0,13.4,0.0,0.0,0.0,0.0,9.0,0,0.062509375,False,REGULAR,USD
108,NDXP240426P17030000,2024-04-25 20:02:53+00:00,17030.0,4.31,0.0,0.0,0.0,0.0,15.0,0,0.062509375,False,REGULAR,USD
109,NDXP240426P17040000,2024-04-25 19:36:04+00:00,17040.0,11.0,0.0,0.0,0.0,0.0,10.0,0,0.062509375,False,REGULAR,USD
110,NDXP240426P17050000,2024-04-25 19:36:04+00:00,17050.0,11.7,0.0,0.0,0.0,0.0,85.0,0,0.062509375,False,REGULAR,USD
111,NDXP240426P17060000,2024-04-25 14:44:15+00:00,17060.0,44.7,0.0,0.0,0.0,0.0,3.0,0,0.062509375,False,REGULAR,USD
112,NDXP240426P17070000,2024-04-25 19:30:18+00:00,17070.0,11.76,0.0,0.0,0.0,0.0,10.0,0,0.062509375,False,REGULAR,USD
113,NDXP240426P17075000,2024-04-25 19:57:54+00:00,17075.0,17.25,0.0,0.0,0.0,0.0,14.0,0,0.062509375,False,REGULAR,USD
114,NDXP240426P17080000,2024-04-25 20:02:53+00:00,17080.0,5.15,0.0,0.0,0.0,0.0,63.0,0,0.062509375,False,REGULAR,USD
115,NDXP240426P17090000,2024-04-25 19:28:58+00:00,17090.0,13.45,0.0,0.0,0.0,0.0,56.0,0,0.062509375,False,REGULAR,USD
116,NDXP240426P17100000,2024-04-25 20:04:32+00:00,17100.0,4.3,0.0,0.0,0.0,0.0,273.0,0,0.062509375,False,REGULAR,USD
117,NDXP240426P17110000,2024-04-25 20:00:13+00:00,17110.0,21.08,0.0,0.0,0.0,0.0,21.0,0,0.062509375,False,REGULAR,USD
