,Date,Ticker,Price,K
35,2021-01-08,SPY US 1/15/21 P350 Equity,0.18,350
54,2021-01-15,SPY US 1/22/21 P370 Equity,2.26,370
52,2021-01-15,SPY US 1/22/21 P372 Equity,2.78,372
63,2021-01-15,SPY US 1/22/21 P361 Equity,0.74,361
47,2021-01-15,SPY US 1/22/21 P377 Equity,4.7,377
50,2021-01-15,SPY US 1/22/21 P374 Equity,3.45,374
49,2021-01-15,SPY US 1/22/21 P375 Equity,3.87,375
48,2021-01-15,SPY US 1/22/21 P376 Equity,4.31,376
55,2021-01-15,SPY US 1/22/21 P369 Equity,2.04,369
51,2021-01-15,SPY US 1/22/21 P373 Equity,3.11,373
56,2021-01-15,SPY US 1/22/21 P368 Equity,1.86,368
53,2021-01-15,SPY US 1/22/21 P371 Equity,2.56,371
58,2021-01-15,SPY US 1/22/21 P366 Equity,1.54,366
59,2021-01-15,SPY US 1/22/21 P365 Equity,1.37,365
60,2021-01-15,SPY US 1/22/21 P364 Equity,1.25,364
61,2021-01-15,SPY US 1/22/21 P363 Equity,1.15,363
84,2021-01-15,SPY US 1/22/21 P340 Equity,0.18,340
85,2021-01-15,SPY US 1/22/21 P339 Equity,0.15,339
88,2021-01-15,SPY US 1/22/21 P336 Equity,0.17,336
89,2021-01-15,SPY US 1/22/21 P335 Equity,0.16,335
86,2021-01-15,SPY US 1/22/21 P338 Equity,0.15,338
57,2021-01-15,SPY US 1/22/21 P367 Equity,1.7,367
46,2021-01-15,SPY US 1/22/21 P378 Equity,5.17,378
76,2021-01-15,SPY US 1/22/21 P348 Equity,0.24,348
83,2021-01-15,SPY US 1/22/21 P341 Equity,0.17,341
45,2021-01-15,SPY US 1/22/21 P379 Equity,5.71,379
72,2021-01-15,SPY US 1/22/21 P352 Equity,0.39,352
66,2021-01-15,SPY US 1/22/21 P358 Equity,0.67,358
68,2021-01-15,SPY US 1/22/21 P356 Equity,0.56,356
69,2021-01-15,SPY US 1/22/21 P355 Equity,0.52,355
70,2021-01-15,SPY US 1/22/21 P354 Equity,0.47,354
71,2021-01-15,SPY US 1/22/21 P353 Equity,0.42,353
73,2021-01-15,SPY US 1/22/21 P351 Equity,0.31,351
78,2021-01-15,SPY US 1/22/21 P346 Equity,0.2,346
75,2021-01-15,SPY US 1/22/21 P349 Equity,0.28,349
67,2021-01-15,SPY US 1/22/21 P357 Equity,0.6,357
77,2021-01-15,SPY US 1/22/21 P347 Equity,0.27,347
87,2021-01-15,SPY US 1/22/21 P337 Equity,0.15,337
64,2021-01-15,SPY US 1/22/21 P360 Equity,0.83,360
74,2021-01-15,SPY US 1/22/21 P350 Equity,0.35,350
65,2021-01-15,SPY US 1/22/21 P359 Equity,0.73,359
62,2021-01-15,SPY US 1/22/21 P362 Equity,0.96,362
81,2021-01-15,SPY US 1/22/21 P343 Equity,0.22,343
80,2021-01-15,SPY US 1/22/21 P344 Equity,0.18,344
79,2021-01-15,SPY US 1/22/21 P345 Equity,0.23,345
82,2021-01-15,SPY US 1/22/21 P342 Equity,0.17,342
99,2021-01-22,SPY US 1/29/21 P377 Equity,1.34,377
111,2021-01-22,SPY US 1/29/21 P365 Equity,0.38,365
92,2021-01-22,SPY US 1/29/21 P384 Equity,3.35,384
93,2021-01-22,SPY US 1/29/21 P383 Equity,2.9,383
94,2021-01-22,SPY US 1/29/21 P382 Equity,2.55,382
95,2021-01-22,SPY US 1/29/21 P381 Equity,2.21,381
96,2021-01-22,SPY US 1/29/21 P380 Equity,1.94,380
97,2021-01-22,SPY US 1/29/21 P379 Equity,1.73,379
98,2021-01-22,SPY US 1/29/21 P378 Equity,1.52,378
91,2021-01-22,SPY US 1/29/21 P385 Equity,3.81,385
106,2021-01-22,SPY US 1/29/21 P370 Equity,0.61,370
100,2021-01-22,SPY US 1/29/21 P376 Equity,1.2,376
109,2021-01-22,SPY US 1/29/21 P367 Equity,0.46,367
107,2021-01-22,SPY US 1/29/21 P369 Equity,0.55,369
90,2021-01-22,SPY US 1/29/21 P386 Equity,4.4,386
108,2021-01-22,SPY US 1/29/21 P368 Equity,0.5,368
104,2021-01-22,SPY US 1/29/21 P372 Equity,0.76,372
103,2021-01-22,SPY US 1/29/21 P373 Equity,0.85,373
102,2021-01-22,SPY US 1/29/21 P374 Equity,0.95,374
105,2021-01-22,SPY US 1/29/21 P371 Equity,0.7,371
101,2021-01-22,SPY US 1/29/21 P375 Equity,1.06,375
110,2021-01-22,SPY US 1/29/21 P366 Equity,0.41,366
123,2021-01-22,SPY US 1/29/21 P353 Equity,0.13,353
112,2021-01-22,SPY US 1/29/21 P364 Equity,0.34,364
114,2021-01-22,SPY US 1/29/21 P362 Equity,0.31,362
115,2021-01-22,SPY US 1/29/21 P361 Equity,0.21,361
116,2021-01-22,SPY US 1/29/21 P360 Equity,0.26,360
117,2021-01-22,SPY US 1/29/21 P359 Equity,0.18,359
118,2021-01-22,SPY US 1/29/21 P358 Equity,0.22,358
120,2021-01-22,SPY US 1/29/21 P356 Equity,0.2,356
121,2021-01-22,SPY US 1/29/21 P355 Equity,0.2,355
122,2021-01-22,SPY US 1/29/21 P354 Equity,0.17,354
125,2021-01-22,SPY US 1/29/21 P351 Equity,0.17,351
